en,fr,it,es,de,ko,kana
---,---,---,---,---,---,---
Opening Cutscene,Opening Cutscene,Opening Cutscene,Opening Cutscene,Opening Cutscene,Opening Cutscene,Opening Cutscene
Start,Start,Start,Start,Start,Start,Start
Hub,Hub,Hub,Hub,Hub,Hub,Hub
Elevator (env),Elevator (env),Elevator (env),Elevator (env),Elevator (env),Elevator (env),Elevator (env)
River,River,River,River,River,River,River
Beach,Beach,Beach,Beach,Beach,Beach,Beach
Cave,Cave,Cave,Cave,Cave,Cave,Cave
Marsh,Marsh,Marsh,Marsh,Marsh,Marsh,Marsh
Tundra,Tundra,Tundra,Tundra,Tundra,Tundra,Tundra
Cycling Road,Cycling Road,Cycling Road,Cycling Road,Cycling Road,Cycling Road,Cycling Road
Rocket HQ,Rocket HQ,Rocket HQ,Rocket HQ,Rocket HQ,Rocket HQ,Rocket HQ
Elevator (sys),Elevator (sys),Elevator (sys),Elevator (sys),Elevator (sys),Elevator (sys),Elevator (sys)
Laboratory,Laboratory,Laboratory,Laboratory,Laboratory,Laboratory,Laboratory
Library,Library,Library,Library,Library,Library,Library
Studio,Studio,Studio,Studio,Studio,Studio,Studio
Game Corner,Game Corner,Game Corner,Game Corner,Game Corner,Game Corner,Game Corner
Battle Arena,Battle Arena,Battle Arena,Battle Arena,Battle Arena,Battle Arena,Battle Arena
Wifi,Wifi,Wifi,Wifi,Wifi,Wifi,Wifi
Exterior,Exterior,Exterior,Exterior,Exterior,Exterior,Exterior
Route,Route,Route,Route,Route,Route,Route
Basement,Basement,Basement,Basement,Basement,Basement,Basement
TT Exterior,TT Exterior,TT Exterior,TT Exterior,TT Exterior,TT Exterior,TT Exterior
TT Player Interior,TT Player Interior,TT Player Interior,TT Player Interior,TT Player Interior,TT Player Interior,TT Player Interior
TT Nathan House,test,test,test,test,test,test
TT Pokemon Laboratory,TT Pokemon Laboratory,TT Pokemon Laboratory,TT Pokemon Laboratory,TT Pokemon Laboratory,TT Pokemon Laboratory,TT Pokemon Laboratory
Route 1,Route 1,Route 1,Route 1,Route 1,Route 1,Route 1
Arlington Exterior,Arlington,Arlington,Arlington,Arlington,Arlington,Arlington
Arlington NPC House 1,Arlington NPC House 1,Arlington NPC House 1,Arlington NPC House 1,Arlington NPC House 1,Arlington NPC House 1,Arlington NPC House 1
Arlington NPC House 2,Arlington NPC House 2,Arlington NPC House 2,Arlington NPC House 2,Arlington NPC House 2,Arlington NPC House 2,Arlington NPC House 2
Arlington Shiny House,Arlington Shiny House,Arlington Shiny House,Arlington Shiny House,Arlington Shiny House,Arlington Shiny House,Arlington Shiny House
Arlington PC,Arlington PC,Arlington PC,Arlington PC,Arlington PC,Arlington PC,Arlington PC
Arlington PokeMart,Arlington PokeMart,Arlington PokeMart,Arlington PokeMart,Arlington PokeMart,Arlington PokeMart,Arlington PokeMart
Arlington Gym,Arlington Gym,Arlington Gym,Arlington Gym,Arlington Gym,Arlington Gym,Arlington Gym
Route 2,Route 2,Route 2,Route 2,Route 2,Route 2,Route 2
Kevin's Hut,Kevin's Hut,Kevin's Hut,Kevin's Hut,Kevin's Hut,Kevin's Hut,Kevin's Hut
Goomy Cave,Goomy Cave,Goomy Cave,Goomy Cave,Goomy Cave,Goomy Cave,Goomy Cave
Goomer Town Exterior,Goomer Town Exterior,Goomer Town Exterior,Goomer Town Exterior,Goomer Town Exterior,Goomer Town Exterior,Goomer Town Exterior
Goomer Town PC,Goomer Town PC,Goomer Town PC,Goomer Town PC,Goomer Town PC,Goomer Town PC,Goomer Town PC
GT NPC House 1,GT NPC House 1,GT NPC House 1,GT NPC House 1,GT NPC House 1,GT NPC House 1,GT NPC House 1
GT NPC House 2,GT NPC House 2,GT NPC House 2,GT NPC House 2,GT NPC House 2,GT NPC House 2,GT NPC House 2
GT Delta House,GT Delta House,GT Delta House,GT Delta House,GT Delta House,GT Delta House,GT Delta House
Goomer Town Gym,Goomer Town Gym,Goomer Town Gym,Goomer Town Gym,Goomer Town Gym,Goomer Town Gym,Goomer Town Gym
Route 3,Route 3,Route 3,Route 3,Route 3,Route 3,Route 3
Smu City Exterior,Smu City Exterior,Smu City Exterior,Smu City Exterior,Smu City Exterior,Smu City Exterior,Smu City Exterior
Smu City Power Plant,Smu City Steel Mill,Smu City Steel Mill,Smu City Steel Mill,Smu City Steel Mill,Smu City Steel Mill,Smu City Steel Mill
